catch,fish,boat,method,port,state,latitude,longitude,out_lat,out_lon,resources,data,,,,,
Acadian Redfish,Sebastes fasciatus,F/V Diane Lynn II,otter trawler,Portland,Maine,43.59081828,-70.25681481,,,stock assessment ,http://safis.accsp.org/,(fish specific - inside & outside supply chain),,,,
Mussels,Mollusca mytilidae,,rope grown,Casco Bay,Maine,43.5513006,-70.4069106,,,,http://www.iobis.org/,(historical and geospatial data - save searches  - api for R),,,,
Scallops,Mollusca pentinoidea,,,Machiasport,Maine,44.64551705,-67.38324035,,,,coast.noaa.gov/dataviewer/#/,(small spatial water related datasets),,,,
John Dory,Zeus faber,F/V Sea Rambler,otter trawler,Point Judith,Rhode Island,41.38288,-71.51045,,,,www.marinecadastre.gov,"(12NM Territorial Sea, aquaculture, species richness)",,,,
Summer Flounder,Paralichthys dentatus,F/V Mattie & Maren,hook & liner,Point Judith,Rhode Island,41.38288,-71.51045,,,,www.fishwatch.gov,,,,,
Porgy,Stenotomus chrysopos,F/V James & Matthew,otter trawler,Point Judith,Rhode Island,41.38288,-71.51045,41.1872,-71.58353483,,https://coast.noaa.gov/dataregistry/search/dataset/9BD54A84-C827-4536-95AD-E6C0C92FF022,,,,,(aquaculture)
Squid,Mollusca cephalopoda,,,Port Judith,Rhode Island,41.38288,-71.51045,,,,http://www.nefsc.noaa.gov/saw/sasi/sasi_report_options.php,,,(stock assessments .txt as table),,
Atlantic Pollock,Pollachius virens,F/V Jaime & Ashley,otter trawler,Gloucester,Massachusetts,42.60774792,-70.66680908,,,stock assessment,http://response.restoration.noaa.gov/maps-and-spatial-data/download-esi-maps-and-gis-data.html#Massachusetts,,,,,
Acadian Redfish,Sebates fasciatus,F/V Jaime & Ashley,otter trawler,Gloucester,Massachusetts,42.60774792,-70.66680908,,,,,,,,,
Silver Hake,Merluccius Bilinearis,F/V Nobska,otter trawler,Gloucester,Massachusetts,42.60774792,-70.66680908,,,,,,,,,
Atlantic Pollock,Pollachius virens,F/V Midnight Sun,otter trawler,Gloucester,Massachusetts,42.60774792,-70.66680908,,,,,,,,,
Yellowfin Tuna,Thunnus albacares,F/V Iron Maiden,long liner,Boston ,Massachusetts,42.3611199,-71.01499025,,,,,,,,,
Swordfish,Ziphias gladius,F/V Iron Maiden,harpoon,Boston ,Massachusetts,42.3611199,-71.01499025,,,,,,,,,
Swordfish,Xiphias gladius,F/V Iron Lady,long liner,Boston,Massachusetts,42.3611199,-71.01499025,,,,,,,,,
Yellowfin Tuna,Thunnus albacares,F/V Iron Maiden,long liner,Boston ,Massachusetts,42.3611199,-71.01499025,,,,,,,,,
Mahi mahi,Coryphaena hippurus,F/V Iron Lady,long liner,Boston,Massachusetts,42.3611199,-71.01499025,,,,,,,,,
Monkfish,Lophius americanus,F/V Shamrock,gill netter,New Bedford,Massachusetts,41.66858075,-70.938369,41.06134,-71.00908,species richness,,,,,,
Haddock,Melanogrammus aeglefinus,F/V Morue,otter trawler,New Bedford ,Massachusetts,41.66858075,-70.938369,,,stock assessment,,,,,,
Clams,Merceneria mercenaria,Pat & Barb Woodbury,dug,Wellfleet,Massachusetts,41.889052,-70.00874519,,,,,,,,,
Scallops,Mollusca pentinoidea,F/V Midnight Oil,picked,Welfleet,Massachusetts,41.889052,-70.00874519,,,,,,,,,
Bluefish,Pomatomus saltarix,F/V Sea Wolf,strike netter ,Chatham,Massachusetts,41.693143,-70.0117575,29.381,-89.5946,,,references,,,,
Albacore Tuna,Thunnus alalunga,F/V Sea Rambler,hook & line ,Barnegat Light,New Jersey,39.70787143,-74.14357453,,,,,http://mermaidsgardennyc.com/,,,,
Golden Tilefish,Lopholatilus chamaelonticeps,F/V Anna Eileen,deep water long lines,Barnegat Light,New Jersey,39.70787143,-74.14357453,,,,,http://www.nrdc.org/wildlife/fish/nswordbr.asp.,,,,
Oysters,Pinctada,Mike Doall & Mike Martinsen,cultivated,Montauk,New York,41.04247975,-71.95607855,,,,,https://www.facebook.com/pg/Mermaids-Garden-176226402437732/about/?ref=page_internal,,,,
Striped Bass,Morone saxatillis,F/V Freedom,hook & liner,Montauk,New York,41.04247975,-71.95607855,41.63858,-70.91863,,,www.ndrc.org,,,,
Striped Bass,Morone saxatilis,F/V Navigator,gill nets,Crisfield,Maryland,37.985926,-75.849865,37.20616,-76.41801,,,,,,,
Blowfish,Tetraodontidae,"watermen, crab traps","bycatch, purse seines",Crisfield,Maryland,37.985926,-75.849865,,,,,,,,,
White Shrimp,Litopenaeus setiferus,F/V Miss Bertha,shrimp trawler,Darien,Georgia,31.34253395,-81.4846007,,,,,application for the project,,,,
,,,,,,,,,,,,https://www.kaggle.com/competitions,,,,